                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1043,                 2.3103,                 1.4044,                0.00467,                      1,                0.59467,                0.27588,                0.99081,                 3.0246,                 1.6001,                0.00046,                0.00046,                0.00046
                      2,                  1.135,                 1.7418,                 1.4122,                0.21529,                0.14286,                0.35275,                0.13148,                 2.0914,                 3.0486,                 2.5683,             0.00093069,             0.00093069,             0.00093069
                      3,                 1.1913,                 1.6171,                 1.4543,                0.02839,                0.14286,                0.04322,                0.01281,                 2.5887,                 3.8148,                 3.5678,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.2548,                 1.6782,                 1.4982,                0.19568,                0.42857,                0.22614,                0.05803,                 2.4023,                  2.937,                  2.836,              0.0018436,              0.0018436,              0.0018436
                      5,                 1.2564,                 1.5892,                 1.4888,                0.06393,                0.14286,                 0.0399,                0.01228,                 2.7871,                 9.9543,                 2.9197,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2313,                 1.5797,                 1.4598,                0.33108,                0.28571,                0.16306,                0.06956,                 2.6256,                 3.3087,                 3.1125,               0.001901,               0.001901,               0.001901
                      7,                 1.1836,                 1.4627,                 1.4491,                0.66651,                0.42857,                 0.3351,                0.12721,                 2.8643,                 5.2403,                 3.2168,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.211,                  1.469,                 1.4856,                0.15203,                0.42857,                0.07692,                0.01751,                 3.1103,                  4.011,                 3.3697,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2062,                 1.4405,                 1.4682,                0.66156,                0.71429,                0.70761,                0.35854,                 1.5962,                 2.2873,                 2.2956,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2119,                 1.3791,                 1.4707,                 0.4294,                0.71429,                0.51679,                0.25361,                 1.9632,                 3.8305,                 2.8331,              0.0018218,              0.0018218,              0.0018218
                     11,                   1.22,                 1.3717,                 1.4694,                0.70551,                0.42857,                0.56212,                0.34403,                 1.9471,                 1.7809,                 2.6682,               0.001802,               0.001802,               0.001802
                     12,                 1.1198,                 1.3053,                 1.4046,                0.56092,                0.57143,                0.51957,                0.30637,                 1.6488,                 1.8017,                 2.0902,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0852,                 1.1781,                 1.3851,                0.58019,                0.40027,                0.47563,                0.14774,                 1.8376,                 2.1101,                 2.1297,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.084,                 1.1874,                 1.3779,                0.68874,                0.42857,                0.49188,                0.27786,                 2.0078,                 1.9588,                 2.4256,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0947,                 1.1845,                 1.3859,                0.46519,                0.57143,                0.40388,                0.25948,                 1.6172,                 2.1706,                 2.0754,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.103,                 1.1336,                 1.3761,                0.47517,                0.42857,                0.39504,                0.25443,                 1.4444,                 1.6425,                 1.8511,               0.001703,               0.001703,               0.001703
                     17,                 1.0592,                  1.044,                 1.3244,                0.56743,                0.42857,                0.43233,                 0.2414,                 1.8875,                 1.9654,                 2.3118,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0591,                 1.1008,                 1.3258,                0.79129,                0.54654,                 0.6402,                0.31712,                 1.9034,                 1.4325,                 2.5928,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0336,                 1.0883,                 1.3237,                0.42937,                0.57143,                0.52771,                0.37978,                 1.5175,                  1.689,                 1.8411,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0323,                 1.0716,                 1.3183,                0.33976,                0.42857,                0.29618,                 0.1875,                 1.5069,                 2.0001,                 1.7707,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0334,                 1.0605,                 1.3324,                0.47928,                0.71429,                0.58642,                 0.3849,                 1.3206,                 1.5499,                 1.8103,               0.001604,               0.001604,               0.001604
                     22,                0.91278,                0.91736,                 1.2212,                0.72845,                0.42857,                0.52218,                0.35035,                  1.552,                 2.1891,                 2.0709,              0.0015842,              0.0015842,              0.0015842
                     23,                0.99456,                0.99125,                 1.2947,                0.89758,                0.42857,                0.58078,                0.38508,                 1.5889,                 1.5415,                 2.1283,              0.0015644,              0.0015644,              0.0015644
                     24,                0.98267,                0.94558,                 1.3176,                0.96592,                0.28571,                 0.4472,                0.29313,                 1.7071,                 1.6044,                 2.1797,              0.0015446,              0.0015446,              0.0015446
                     25,                0.97846,                0.96526,                 1.2895,                0.69109,                0.57143,                0.69561,                0.41525,                 1.3743,                 1.3587,                  1.796,              0.0015248,              0.0015248,              0.0015248
                     26,                0.95611,                0.91337,                 1.2706,                0.48233,                0.85714,                  0.619,                0.35173,                 1.4977,                 1.5961,                 2.2253,               0.001505,               0.001505,               0.001505
                     27,                0.95109,                0.92539,                 1.2554,                 0.5862,                0.85714,                0.65827,                0.45632,                 1.4174,                 1.0711,                 2.0011,              0.0014852,              0.0014852,              0.0014852
                     28,                0.97781,                0.92602,                 1.2889,                0.59415,                0.71429,                 0.7248,                0.47936,                 1.4327,                 1.2329,                 2.1673,              0.0014654,              0.0014654,              0.0014654
                     29,                0.93232,                0.86776,                 1.2559,                      1,                 0.5695,                 0.6402,                0.42845,                 1.5812,                 1.6776,                 2.0481,              0.0014456,              0.0014456,              0.0014456
                     30,                0.91993,                0.85359,                 1.2383,                      1,                0.70601,                0.88372,                 0.4182,                 1.5339,                 1.2918,                 1.8714,              0.0014258,              0.0014258,              0.0014258
                     31,                0.91332,                0.87806,                 1.2563,                0.84816,                0.85714,                0.90246,                0.54584,                 1.3598,                0.96742,                  1.833,               0.001406,               0.001406,               0.001406
                     32,                0.91146,                0.85462,                 1.2193,                0.71145,                0.70578,                 0.7622,                 0.3893,                 1.8005,                 1.2292,                 2.3731,              0.0013862,              0.0013862,              0.0013862
                     33,                0.89379,                0.84873,                 1.2387,                0.57297,                0.42857,                0.51349,                0.36676,                 1.6825,                 1.4133,                 2.2858,              0.0013664,              0.0013664,              0.0013664
                     34,                0.88685,                0.85501,                 1.2239,                      1,                 0.5657,                 0.6443,                0.37464,                 1.4016,                 1.7563,                 1.9997,              0.0013466,              0.0013466,              0.0013466
                     35,                0.87504,                0.79983,                 1.2229,                 0.9406,                0.42857,                0.55515,                 0.3797,                 1.6437,                 1.4641,                 2.4567,              0.0013268,              0.0013268,              0.0013268
                     36,                0.86911,                0.79005,                 1.2177,                0.33797,                0.71429,                0.59938,                0.42448,                 1.2556,                 1.4744,                 1.6584,               0.001307,               0.001307,               0.001307
